cell,status,n,soh_med,soh_early,soh_recent,d_obs,per100,lo100,hi100,sig_decline,se
HXR15998,LOW,33,82.528,94.748,83.288,-11.46,-55.5,-136.956,14.564,False,4.166
HXX13808,DECLINING,30,91.713,99.857,85.32,-14.538,-87.119,-175.764,-29.612,True,2.205
HXM13937,DECLINING,32,95.576,98.453,80.363,-18.09,-54.668,-93.236,-17.812,True,1.275
HXQ15635,LOW,21,87.883,92.28,85.085,-7.195,-49.41,-138.97,36.99,False,1.725
HXN14320,DECLINING,37,94.969,99.452,85.524,-13.929,-51.969,-82.924,-23.031,True,1.384
HXO14679,WATCH,20,93.053,102.529,91.111,-11.417,-72.65,-147.037,11.923,False,2.931
HXR15816,WATCH,15,95.017,101.539,88.819,-12.719,-97.034,-159.011,0.132,False,2.417
HXQ15666,WATCH,12,97.131,99.627,85.962,-13.665,-162.466,-409.898,13.66,False,2.568
HXN14487,LOW,15,89.291,92.809,88.039,-4.769,-39.087,-144.801,72.578,False,2.246
HXN14468,WATCH,15,95.886,99.276,87.985,-11.291,-84.684,-230.979,8.302,False,1.808
HXN14486,DECLINING,21,98.138,100.545,87.044,-13.501,-85.232,-153.087,-19.592,True,1.166
HXN14305,LOW,19,87.468,88.026,85.674,-2.353,-10.581,-108.544,112.362,False,2.611
HXN14383,DECLINING,24,96.064,103.449,93.168,-10.282,-64.351,-179.788,-35.29,True,1.836
HXO14589,WATCH,31,96.199,99.589,89.602,-9.988,-17.365,-50.766,13.648,False,1.527
HXO14627,LOW,15,89.223,91.062,88.093,-2.969,-22.875,-146.597,82.188,False,2.101
HXO14835,WATCH,48,93.271,96.606,89.654,-6.953,-5.894,-23.584,12.822,False,1.181
HXX13749,LOW,18,89.766,93.066,89.766,-3.3,-3.13,-105.359,173.171,False,2.847
HXM14204,WATCH,49,95.797,99.325,90.312,-9.013,-14.014,-32.552,1.743,False,0.958
HXN14257,DECLINING,38,95.683,100.681,92.026,-8.654,-27.531,-45.182,-9.946,True,1.22
HXM13908,DECLINING,37,94.315,97.14,90.549,-6.591,-36.217,-66.951,-9.457,True,1.672
HXO14742,DECLINING,37,97.1,99.523,90.26,-9.263,-39.091,-65.679,-11.442,True,1.124
HXO14571,LOW,27,91.543,94.21,90.556,-3.654,-3.172,-53.77,44.729,False,2.215
HXP15102,LOW,14,88.184,84.964,95.062,10.098,64.69,-107.316,237.728,False,2.651
HXQ15596,WATCH,39,92.616,97.031,93.097,-3.934,-14.278,-37.728,4.374,False,1.33
HXM13916,WATCH,23,97.27,95.808,87.303,-8.506,-18.751,-91.949,24.822,False,1.287
HXM14193,WATCH,45,93.964,96.285,91.092,-5.193,-20.597,-41.17,1.122,False,1.574
HXN14401,DECLINING,25,95.718,99.314,92.598,-6.716,-38.862,-80.05,-8.788,True,1.374
HXM13900,WATCH,39,94.528,99.679,94.528,-5.152,-9.17,-24.011,9.47,False,1.274
HXN14391,DECLINING,30,96.992,99.226,91.807,-7.419,-40.417,-74.738,-14.575,True,0.82
HXO14649,WATCH,42,94.408,96.834,92.178,-4.656,-0.981,-20.666,21.839,False,1.248
HXR15868,WATCH,38,95.105,97.604,92.264,-5.34,-5.435,-32.086,23.019,False,1.292
HXX13782,WATCH,33,95.444,98.945,93.333,-5.612,-24.89,-62.297,2.223,False,1.396
HXO14537,WATCH,24,98.183,98.927,90.592,-8.335,-11.954,-106.823,12.641,False,0.677
HXX13734,WATCH,36,94.615,94.856,91.096,-3.76,-23.44,-48.202,3.857,False,1.352
HXN14362,WATCH,16,95.99,99.58,94.452,-5.129,-48.347,-158.527,34.151,False,1.895
HXO14523,DECLINING,18,95.749,98.692,94.227,-4.465,-56.814,-170.82,-10.694,True,1.662
HXR15749,LOW,40,91.316,92.889,93.332,0.443,1.501,-24.189,27.327,False,1.727
HXO14517,WATCH,24,94.787,94.833,91.656,-3.177,-12.588,-54.023,35.26,False,1.5
HXR15875,WATCH,34,91.735,89.531,98.761,9.229,21.847,-14.9,61.113,False,1.954
HXU11261,WATCH,36,97.943,98.412,92.23,-6.181,-11.245,-32.333,4.193,False,0.618
HXX13827,WATCH,44,91.901,93.194,95.02,1.826,-4.047,-29.177,19.672,False,1.552
HXX13841,OK,42,94.496,96.915,94.347,-2.568,-10.808,-36.346,7.562,False,1.366
HXO14525,DECLINING,34,96.284,98.651,94.442,-4.208,-20.725,-50.856,-3.16,True,1.032
HXM13912,WATCH,18,92.27,92.27,96.062,3.792,8.699,-104.994,102.484,False,1.637
HXM14191,WATCH,20,97.719,99.695,94.422,-5.272,-37.359,-97.791,21.994,False,1.128
HXX13737,WATCH,13,92.453,82.059,86.721,4.663,-54.855,-216.618,142.629,False,2.599
HXQ15627,WATCH,32,92.576,89.313,97.513,8.2,12.334,-18.298,55.496,False,1.921
HXN14246,WATCH,23,97.714,100.695,95.704,-4.991,-38.913,-76.892,5.443,False,1.12
HXQ15707,OK,40,93.834,95.582,94.661,-0.922,-4.761,-25.737,19.629,False,1.197
HXQ15677,WATCH,27,97.172,97.172,92.928,-4.244,-24.53,-82.381,9.254,False,1.211
HXX13803,OK,32,93.192,89.322,94.988,5.667,13.854,-17.7,46.922,False,1.291
HXM13955,DECLINING,41,97.862,100.294,95.792,-4.502,-21.787,-37.301,-6.656,True,0.759
HXN14449,WATCH,14,97.056,98.666,95.292,-3.374,-10.469,-132.955,100.758,False,1.347
HXR15728,OK,37,93.938,95.691,96.17,0.479,9.112,-16.072,33.655,False,1.198
